개방시설명,초과사용단위시간,사용료,담당부서명,홈페이지주소,유료사용여부,휴관일,부대시설정보,개방시설유형구분,주말운영종료시각,개방장소명,소재지도로명주소,사용기준시간,,,위도,주말운영시작시각,면적,데이터기준일자,평일운영시작시각,사용안내전화번호,관리기관명,초과사용료,소재지지번주소,평일운영종료시각,경도,시설사진정보,신청방법구분,수용가능인원수,
구수산도서관 시청각실,,,,,Y,없음,,강당,17:00,구수산도서관,대구광역시 북구 대천로 21 (읍내동),,,,35.938777,9:00,,2018-08-01,9:00,,행복북구문화재단,,,17:00,128.552366,,방문+전화,163,
어울아트센터 대공연장,,,,,Y,없음,,강당,22:00,어울아트센터,대구광역시 북구 구암로47 (관음동),,,,35.934722,9:00,,2018-08-01,9:00,,행복북구문화재단,,,22:00,128.546209,,방문+전화,,
대불스포츠센터 탁구, GX룸,,,,,Y,없음,,체육관,21:00,대불스포츠센터,대구광역시 북구 유통단지로8길 56 (산격동),,,,35.904404,7:00,,2018-08-01,0:00,,대불스포츠클럽,,,0:00,128.611208,,방문+전화,50
대불스포츠센터 제2경기장,,,,,Y,없음,,체육관,21:00,대불스포츠센터,대구광역시 북구 유통단지로8길 56 (산격동),,,,35.904404,7:00,,2018-08-01,0:00,,대불스포츠클럽,,,0:00,128.611208,,방문+전화,500,
고성동 주민센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,고성동 주민센터,대구광역시 북구 고성로31길 21 (고성동3가),,35.881901,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.583558,,방문+전화,200,
침산1동 주민센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,침산1동 주민센터,대구광역시 북구 침산남로13길 16 (침산1동),,35.890339,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.5812786,,방문+전화,40,
침산2동 주민센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,침산2동 주민센터,대구광역시 북구 침산남로 195 (침산2동),,35.887279,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.596977,,방문+전화,25,
침산3동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,침산3동 행정복지센터,대구광역시 북구 성북로 55 (침산3동),,35.8920297,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.589326,,방문+전화,50,
침산3동 행정복지센터 강당,,,,,N,토요일, 일요일, 공휴일,,강당,0:00,침산3동 행정복지센터,대구광역시 북구 성북로 55 (침산3동),,35.8920297,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.589326,,방문+전화,200,
노원동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,노원동 행정복지센터,대구광역시 북구 노원로10길 166 (노원동2가),,35.890129,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.576208,,방문+전화,25,
노원동 행정복지센터 강당,,,,,N,토요일, 일요일, 공휴일,,강당,0:00,노원동 행정복지센터,대구광역시 북구 노원로10길 166 (노원동2가),,35.890129,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.576208,,방문+전화,100,
산격1동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,산격1동 행정복지센터,대구광역시 북구 연암로36길 6 (산격동),,35.900447,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.596888,,방문+전화,30,
산격1동 행정복지센터 강당,,,,,N,토요일, 일요일, 공휴일,,강당,0:00,산격1동 행정복지센터,대구광역시 북구 연암로36길 6 (산격동),,35.900447,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.596888,,방문+전화,100,
산격2동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,산격2동 행정복지센터,대구광역시 북구 동북로31길 30 (산격동),,35.901737,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.609238,,방문+전화,20,
산격2동 행정복지센터 강당,,,,,N,토요일, 일요일, 공휴일,,강당,0:00,산격2동 행정복지센터,대구광역시 북구 동북로31길 30 (산격동),,35.901737,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.609238,,방문+전화,30,
산격2동 행정복지센터 체육시설,,,,,N,토요일, 일요일, 공휴일,,기타,0:00,산격2동 행정복지센터,대구광역시 북구 동북로31길 30 (산격동),,35.901737,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.609238,,방문+전화,20,
산격4동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,산격4동 행정복지센터,대구광역시 북구 대구체육관로 48 (산격동),,35.892072,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.604311,,방문+전화,25,
산격4동 행정복지센터 강당,,,,,N,토요일, 일요일, 공휴일,,강당,0:00,산격4동 행정복지센터,대구광역시 북구 대구체육관로 48 (산격동),,35.892072,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.604311,,방문+전화,200,
복현1동 주민센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,복현1동 주민센터,대구광역시 북구 동북로52길 7 (복현동),,35.893758,0:00,,2018-08-01,13:00,,대구광역시 북구청,,,18:00,128.618548,,방문+전화,,
복현2동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,복현2동 행정복지센터,대구광역시 북구 복현로8길 16-5 (복현동),,35.895381,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.625462,,방문+전화,50,
복현2동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,복현2동 행정복지센터,대구광역시 북구 복현로8길 16-5 (복현동),,35.895381,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.625462,,방문+전화,30,
대현동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,대현동 행정복지센터,대구광역시 북구 대현남로 25 (대현동),,35.881559,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.605318,,방문+전화,20,
대현동 행정복지센터 강당,,,,,N,토요일, 일요일, 공휴일,,강당,0:00,대현동 행정복지센터,대구광역시 북구 대현남로 25 (대현동),,35.881559,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.605318,,방문+전화,60,
검단동 주민센터 체육시설,,,,,Y,일요일, 공휴일,,기타,17:00,검단동 주민센터,대구광역시 북구 검단로41길 12 (검단동),,35.913434,6:00,,2018-08-01,6:00,,대구광역시 북구청,,,22:00,128.6272256,,방문+전화,50,,
무태조야동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,무태조야동 행정복지센터,대구광역시 북구 호국로43길 20 (서변동),,35.921357,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.597056,,방문+전화,50,
무태조야동 행정복지센터 강당,,,,,N,토요일, 일요일, 공휴일,,강당,0:00,무태조야동 행정복지센터,대구광역시 북구 호국로43길 20 (서변동),,35.921357,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.597056,,방문+전화,70,
무태조야동 조야분소 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,무태조야동 조야분소,대구광역시 북구 조야로 37 (조야동),,35.910489,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.576367,,방문+전화,30,
관문동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,관문동 행정복지센터,대구광역시 북구 매천로18길 34 (매천동),,35.903043,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,20:00,128.543809,,방문+전화,50,
태전2동 행정복지센터 강당,,,,,N,토요일, 일요일, 공휴일,,강당,0:00,태전2동 행정복지센터,대구광역시 북구 칠곡중앙대로52길 32 (태전동),,35.921497,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.548767,,방문+전화,150,
구암동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,구암동 행정복지센터,대구광역시 북구 구암서로 32 (구암동),,35.938929,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.566022,,방문+전화,25,
구암동 행정복지센터 강당,,,,,N,토요일, 일요일, 공휴일,,강당,0:00,구암동 행정복지센터,대구광역시 북구 구암서로 32 (구암동),,35.938929,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.566022,,방문+전화,100,
관음동 주민센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,관음동 주민센터,대구광역시 북구 관음동로 125 (관음동),,35.944253,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.547306,,방문+전화,40,
읍내동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,읍내동 행정복지센터,대구광역시 북구 칠곡중앙대로 561 (읍내동),,35.945824,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.550564,,방문+전화,50,
동천동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,동천동 행정복지센터,대구광역시 북구 대천로 81 (동천동),,35.937209,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.558174,,방문+전화,50,
국우동 행정복지센터 회의실,,,,,N,토요일, 일요일, 공휴일,,회의실,0:00,국우동 행정복지센터,대구광역시 북구 구리로 188 (국우동),,35.948033,0:00,,2018-08-01,9:00,,대구광역시 북구청,,,18:00,128.575365,,방문+전화,50,
