공원보유시설(편익시설),관리기관명,관리번호,공원명,공원면적,전화번호,공원보유시설(유희시설),소재지지번주소,공원구분,지정고시일,경도,공원보유시설(운동시설),소재지도로명주소,위도,공원보유시설(기타시설),데이터기준일자,공원보유시설(교양시설),
,대구광역시 수성구청,27260-00025,지산공원,3315,053-666-2902,조합놀이대,대구광역시 수성구 지산1동 1013,어린이공원,1976-07-30,128.632447,,대구광역시 수성구 무학로 31길,35.820333,,2018-07-31,,
,대구광역시 수성구청,27260-00026,현대공원,2237.4,053-666-2902,조합놀이대,대구광역시 수성구 지산2동 1184-5,어린이공원,1981-06-22,128.6252836,,대구광역시 수성구 용학로 28길,35.8224894,,2018-07-31,,
,대구광역시 수성구청,27260-00027,거성공원,1643.8,053-666-2902,조합놀이대,대구광역시 수성구 지산2동 1211-2,어린이공원,1981-06-22,128.6356262,,대구광역시 수성구 용학로 44길,35.8196881,,2018-07-31,,
,대구광역시 수성구청,27260-00028,국화공원,1407.6,053-666-2902,그네,대구광역시 수성구 만촌3동 852,어린이공원,1984-12-29,128.649043,,대구광역시 수성구 달구벌대로 562길,35.867998,,2018-07-31,,
,대구광역시 수성구청,27260-00029,진달래공원,2844.9,053-666-2902,그네,대구광역시 수성구 만촌3동 862,어린이공원,1984-12-29,128.649043,,대구광역시 수성구 교학로 6길,35.867998,,2018-07-31,,
,대구광역시 수성구청,27260-00030,만촌공원,1326,053-666-2902,조합놀이대,대구광역시 수성구 만촌3동 870-13,어린이공원,1984-12-29,128.653092,,대구광역시 수성구 교학로 5길,35.85085,,2018-07-31,,
,대구광역시 수성구청,27260-00031,봉선화공원,1501.4,053-666-2902,조합놀이대,대구광역시 수성구 만촌3동 874-2,어린이공원,1984-12-29,128.650317,,대구광역시 수성구 교학로 12길,35.850604,,2018-07-31,,
,대구광역시 수성구청,27260-00032,민들레공원,1599.1,053-666-2902,미끄럼틀,대구광역시 수성구 만촌3동 882,어린이공원,1984-12-29,128.649043,,대구광역시 수성구 교학로 15길,35.867998,,2018-07-31,,
,대구광역시 수성구청,27260-00033,말뫼공원,1524,053-666-2902,조합놀이대,대구광역시 수성구 두산동 741-7,어린이공원,1984-12-29,128.626524,,대구광역시 수성구 지산로 3길,35.825407,,2018-07-31,,
,대구광역시 수성구청,27260-00034,보성공원,1714.5,053-666-2902,조합놀이대,대구광역시 수성구 범물1동 1279-3,어린이공원,1989-12-30,128.643529,,대구광역시 수성구 지범로 39길,35.821145,,2018-07-31,,
,대구광역시 수성구청,27260-00035,용지공원,1654,053-666-2902,미끄럼틀,대구광역시 수성구 범물1동 1283-2,어린이공원,1989-12-30,128.646427,,대구광역시 수성구 지범로 41길,35.82087,,2018-07-31,,
,대구광역시 수성구청,27260-00002,새마을공원,1650.9,053-666-2902,조합놀이대,대구광역시 수성구 수성3가 130-2,어린이공원,1966-11-09,128.619641,,대구광역시 수성구 들안로 60길,35.857851,,2018-07-31,,
,대구광역시 수성구청,27260-00003,범어재공원,1146.9,053-666-2902,조합놀이대,대구광역시 수성구 범어3동 966-2,어린이공원,1968-09-17,128.619889,,대구광역시 수성구 들안로 78길,35.86549,,2018-07-31,,
,대구광역시 수성구청,27260-00004,호돌이공원,1717.7,053-666-2902,조합놀이대,대구광역시 수성구 수성4가 1009-2,어린이공원,1968-09-17,128.620089,,대구광역시 수성구 달구벌대로 471길,35.861041,,2018-07-31,,
,대구광역시 수성구청,27260-00005,계림공원,666.1,053-666-2902,조합놀이대,대구광역시 수성구 범어2동 416-9,어린이공원,1975-01-09,128.638031,,대구광역시 수성구 세진로 3길,35.863473,,2018-07-31,,
,대구광역시 수성구청,27260-00006,샛별공원,993.1,053-666-2902,조합놀이대,대구광역시 수성구 만촌1동 656-3,어린이공원,1975-01-09,128.643492,,대구광역시 수성구 공경로 7길,35.870459,,2018-07-31,,
,대구광역시 수성구청,27260-00007,청구공원,660.2,053-666-2902,조합놀이대,대구광역시 수성구 만촌2동 1006-2,어린이공원,1975-01-09,128.64594,,대구광역시 수성구 만촌로 8길,35.863426,,2018-07-31,,
,대구광역시 수성구청,27260-00008,동원공원,475.7,053-666-2902,조합놀이대,대구광역시 수성구 만촌2동 1017-2,어린이공원,1975-01-09,128.643211,,대구광역시 수성구 세진로 12길,35.862218,,2018-07-31,,
,대구광역시 수성구청,27260-00009,광명공원,728.9,053-666-2902,미그럼틀,대구광역시 수성구 만촌2동 1023-11,어린이공원,1975-01-09,128.641572,,대구광역시 수성구 동원로 2길,35.860199,,2018-07-31,,
,대구광역시 수성구청,27260-00010,무열공원,659.2,053-666-2902,시소,대구광역시 수성구 만촌2동 991-8,어린이공원,1975-01-09,128.64785,,대구광역시 수성구 국채보상로 214길,35.865661,,2018-07-31,,
,대구광역시 수성구청,27260-00011,동신공원,1982.2,053-666-2902,조합놀이대,대구광역시 수성구 황금2동 750,어린이공원,1976-07-30,128.6185181,,대구광역시 수성구 들안로 40안길,35.8474522,,2018-07-31,,
,대구광역시 수성구청,27260-00012,수목공원,1976.5,053-666-2902,조합놀이대,대구광역시 수성구 황금2동 721,어린이공원,1976-07-30,128.6182606,,대구광역시 수성구 들안로 42길,35.8491393,,2018-07-31,,
,대구광역시 수성구청,27260-00013,황금공원,1993.1,053-666-2902,조합놀이대,대구광역시 수성구 황금2동 802,어린이공원,1976-07-30,128.6188829,,대구광역시 수성구 희망로 36길,35.845678,,2018-07-31,,
,대구광역시 수성구청,27260-00036,마산공원,1601.7,053-666-2902,조합놀이대,대구광역시 수성구 범물1동 1288-2,어린이공원,1989-12-30,128.654525,,대구광역시 수성구 범안로,35.811062,,2018-07-31,,
,대구광역시 수성구청,27260-00037,배수지공원,1510,053-666-2902,조합놀이대,대구광역시 수성구 범물1동 1302,어린이공원,1989-12-30,128.6481283,,대구광역시 수성구 범안로 20길,35.8159819,,2018-07-31,,
,대구광역시 수성구청,27260-00038,중앙공원,2273.6,053-666-2902,조합놀이대,대구광역시 수성구 범물2동 1348,어린이공원,1989-12-30,128.6431953,,대구광역시 수성구 범안로 3길,35.8183005,,2018-07-31,,
,대구광역시 수성구청,27260-00039,관계지공원,3315.9,053-666-2902,조합놀이대,대구광역시 수성구 범물2동 1367,어린이공원,1989-12-30,128.6397192,,대구광역시 수성구 범안로 4길,35.8143855,,2018-07-31,,
,대구광역시 수성구청,27260-00040,범물공원,1588.9,053-666-2902,조합놀이대,대구광역시 수성구 범물2동 1376,어린이공원,1989-12-30,128.6442039,,대구광역시 수성구 지범로 46길,35.8171696,,2018-07-31,,
,대구광역시 수성구청,27260-00041,삼주공원,4213.6,053-666-2902,조합놀이대,대구광역시 수성구 범물2동1382-1,어린이공원,1989-12-30,128.6428413,,대구광역시 수성구 지범로 46길,35.8158733,,2018-07-31,,
,대구광역시 수성구청,27260-00043,청솔공원,1835.3,053-666-2902,조합놀이대,대구광역시 수성구 신매동 580-2,어린이공원,1989-12-30,128.706066,,대구광역시 수성구 고산로 12길,35.836675,,2018-07-31,,
,대구광역시 수성구청,27260-00044,신기공원,1451.4,053-666-2902,조합놀이대,대구광역시 수성구 신매동 586,어린이공원,1989-12-30,128.709608,,대구광역시 수성구 신매로 6길,35.837622,,2018-07-31,,
,대구광역시 수성구청,27260-00045,동서공원,2059.4,053-666-2902,조합놀이대,대구광역시 수성구 신매동 594-2,어린이공원,1989-12-30,128.705562,,대구광역시 수성구 신매로 12길,35.834319,,2018-07-31,,
,대구광역시 수성구청,27260-00046,두성공원,1939.2,053-666-2902,조합놀이대,대구광역시 수성구 신매동 595-2,어린이공원,1989-12-30,128.705205,,대구광역시 수성구 고산로 4길,35.833657,,2018-07-31,,
,대구광역시 수성구청,27260-00047,두리공원,1710.9,053-666-2902,조합놀이대,대구광역시 수성구 신매동 598,어린이공원,1989-12-30,128.709608,,대구광역시 수성구 고산로,35.837622,,2018-07-31,,
,대구광역시 수성구청,27260-00048,삼각공원,1702.9,053-666-2902,조합놀이대,대구광역시 수성구 매호동 1329,어린이공원,1991-05-29,128.707552,,대구광역시 수성구 천을로,35.843632,,2018-07-31,,
,대구광역시 수성구청,27260-00049,나래공원,1582.8,053-666-2902,조합놀이대,대구광역시 수성구 매호동 1333,어린이공원,1991-05-29,128.700098,,대구광역시 수성구 달구벌대로 625길,35.843694,,2018-07-31,,
,대구광역시 수성구청,27260-00050,누리공원,5671.8,053-666-2902,조합놀이대,대구광역시 수성구 매호동 1330-2,어린이공원,1991-05-29,128.705943,,대구광역시 수성구 고산로,35.841838,,2018-07-31,,
,대구광역시 수성구청,27260-00051,고산공원,2015,053-666-2902,조합놀이대,대구광역시 수성구 시지동 137-5,어린이공원,1991-07-31,128.694859,,대구광역시 수성구 천을로 8길,35.844868,,2018-07-31,,
,대구광역시 수성구청,27260-00052,세각단공원,1924,053-666-2902,조합놀이대,대구광역시 수성구 지산1동 1265,어린이공원,1991-10-19,128.6330244,,대구광역시 수성구 지산로 11길,35.8266954,,2018-07-31,,
,대구광역시 수성구청,27260-00053,무학공원,1525.8,053-666-2902,조합놀이대,대구광역시 수성구 지산1동 1293,어린이공원,1991-10-19,128.6397246,,대구광역시 수성구 지산로 31안길,35.8249773,,2018-07-31,,
,대구광역시 수성구청,27260-00054,지봉공원,2049,053-666-2902,조합놀이대,대구광역시 수성구 지산1동 1287,어린이공원,1991-10-19,128.6396817,,대구광역시 수성구 지범로 31길,35.8230983,,2018-07-31,,
,대구광역시 수성구청,27260-00055,수동공원,1502.9,053-666-2902,조합놀이대,대구광역시 수성구 지산1동 1280,어린이공원,1991-10-19,128.6371926,,대구광역시 수성구 지범로 21길,35.8252992,,2018-07-31,,
,대구광역시 수성구청,27260-00056,에덴공원,6983.8,053-666-2902,조합놀이대,대구광역시 수성구 지산2동 1272-1,어린이공원,1991-10-19,128.632429,,대구광역시 수성구 용학로,35.821602,,2018-07-31,,
,대구광역시 수성구청,27260-00057,청산공원,1493.4,053-666-2902,조합놀이대,대구광역시 수성구 지산2동 1247,어린이공원,1991-10-19,128.6274293,,대구광역시 수성구 용학로 31길,35.8235159,,2018-07-31,,
,대구광역시 수성구청,27260-00058,화성공원,1529.1,053-666-2902,조합놀이대,대구광역시 수성구 지산2동 1256,어린이공원,1991-10-19,128.6294034,,대구광역시 수성구 용학로 35길,35.8254819,,2018-07-31,,
,대구광역시 수성구청,27260-00059,달무리공원,1568.8,053-666-2902,조합놀이대,대구광역시 수성구 시지동 487,어린이공원,1992-12-09,128.696425,,대구광역시 수성구 시지로,35.846222,,2018-07-31,,
,대구광역시 수성구청,27260-00060,미진공원,2955.6,053-666-2902,조합놀이대,대구광역시 수성구 시지동 498-1,어린이공원,1992-12-09,128.696513,,대구광역시 수성구 시지로,35.837723,,2018-07-31,,
,대구광역시 수성구청,27260-00061,전원공원,2117.7,053-666-2902,조합놀이대,대구광역시 수성구 시지동 509-1,어린이공원,1992-12-09,128.697545,,대구광역시 수성구 달구벌대로 622길,35.841312,,2018-07-31,,
,대구광역시 수성구청,27260-00062,사월 1공원,2564,053-666-2902,조합놀이대,대구광역시 수성구 사월동 646,어린이공원,2001-06-01,128.719764,,대구광역시 수성구 달구벌대로 669길,35.840378,,2018-07-31,,
,대구광역시 수성구청,27260-00063,상동 1공원,1270,053-666-2902,,대구광역시 수성구 상동 555-1,소공원,2006-10-20,128.609573,,대구광역시 수성구 신천동로,35.831845,,2018-07-31,,
,대구광역시 수성구청,27260-00064,상동 2공원,1170,053-666-2902,,대구광역시 수성구 상동 555-2,소공원,2006-10-20,128.609557,,대구광역시 수성구 신천동로,35.831704,,2018-07-31,,
,대구광역시 수성구청,27260-00065,들안길꿈나무공원,2397,053-666-2902,조합놀이대,대구광역시 수성구 두산동 31-7,어린이공원,2007-08-20,128.618639,,대구광역시 수성구 들안로 20길,35.838306,,2018-07-31,,
,대구광역시 수성구청,27260-00066,백합공원,1411,053-666-2902,조합놀이대,대구광역시 수성구 상동 59-5,소공원,2008-01-10,128.612981,,대구광역시 수성구 수성로 32길,35.835675,,2018-07-31,,
,대구광역시 수성구청,27260-00067,상동공원,2980.9,053-666-2902,조합놀이대,대구광역시 수성구 상동 44,소공원,2008-01-10,128.615508,,대구광역시 수성구 들안로 13길,35.838197,,2018-07-31,,
,대구광역시 수성구청,27260-00068,보람공원,1449.6,053-666-2902,,대구광역시 수성구 두산동 43,소공원,2008-01-10,128.620831,,대구광역시 수성구 청수로 24길,35.8373,,2018-07-31,,
,대구광역시 수성구청,27260-00069,맑음공원,4313.1,053-666-2902,조합놀이대,대구광역시 수성구 두산동 149-11,소공원,2008-01-10,128.618552,,대구광역시 수성구 들안로 2길,35.833636,,2018-07-31,,
,대구광역시 수성구청,27260-00042,천마공원,1987.8,053-666-2902,조합놀이대,대구광역시 수성구 신매동 579-1,어린이공원,1989-12-30,128.706415,,대구광역시 수성구 고산로 18길,35.837307,,2018-07-31,,
,대구광역시 수성구청,27260-00014,대경공원,1952.7,053-666-2902,조합놀이대,대구광역시 수성구 황금2동 882-2,어린이공원,1976-07-30,128.6183464,,대구광역시 수성구 청수로 25길,35.8413469,,2018-07-31,,
,대구광역시 수성구청,27260-00015,무궁화공원,1664.1,053-666-2902,조합놀이대,대구광역시 수성구 중동 12,어린이공원,1976-07-30,128.615914,,대구광역시 수성구 수성로 52길,35.850844,,2018-07-31,,
,대구광역시 수성구청,27260-00016,상록수공원,1984.1,053-666-2902,조합놀이대,대구광역시 수성구 중동 127,어린이공원,1976-07-30,128.615561,,대구광역시 수성구 들안로 25길,35.844165,,2018-07-31,,
,대구광역시 수성구청,27260-00017,중동공원,1981.8,053-666-2902,조합놀이대,대구광역시 수성구 중동 171,어린이공원,1976-07-30,128.615449,,대구광역시 수성구 청수로 9길,35.841633,,2018-07-31,,
,대구광역시 수성구청,27260-00018,희망공원,2655.2,053-666-2902,조합놀이대,대구광역시 수성구 상동 17,어린이공원,1976-07-30,128.61526,,대구광역시 수성구 들안로 13길,35.839293,,2018-07-31,,
,대구광역시 수성구청,27260-00019,청소년공원,2647.6,053-666-2902,,대구광역시 수성구 상동 54,어린이공원,1976-07-30,128.613476,배드민턴장,대구광역시 수성구 수성로 32길,35.836764,,2018-07-31,,
,대구광역시 수성구청,27260-00020,들안길공원,2643.6,053-666-2902,조합놀이대,대구광역시 수성구 상동 343,어린이공원,1976-07-30,128.613471,,대구광역시 수성구 수성로 20길,35.833939,,2018-07-31,,
,대구광역시 수성구청,27260-00021,덕화공원,1500.7,053-666-2902,조합놀이대,대구광역시 수성구 상동 400-1,어린이공원,1976-07-30,128.615616,,대구광역시 수성구 들안로 9길,35.831948,,2018-07-31,,
,대구광역시 수성구청,27260-00022,샛터공원,2633.4,053-666-2902,조합놀이대,대구광역시 수성구 두산동 41,어린이공원,1976-07-30,128.621009,,대구광역시 수성구 청수로 24길,35.837827,,2018-07-31,,
,대구광역시 수성구청,27260-00023,아랫마을공원,2641.7,053-666-2902,조합놀이대,대구광역시 수성구 두산동 141,어린이공원,1976-07-30,128.619684,,대구광역시 수성구 들안로 8길,35.834212,,2018-07-31,,
,대구광역시 수성구청,27260-00024,끝동공원,2653.9,053-666-2902,조합놀이대,대구광역시 수성구 두산동 155,어린이공원,1976-07-30,128.618209,,대구광역시 수성구 들안로 2길,35.832236,,2018-07-31,,
,대구광역시 동구청,27140-00069,율하체육공원,187515.1,053-662-2860,,대구광역시 동구 율하동 1626,체육공원,2003-12-24,128.694461,,,35.823098,,2018-09-30,,
주차장, 매점,대구광역시 수성구청,27260-00037,대구체육공원,1977483,053-666-2850,,대구광역시 수성구 대흥동 산35 일원,체육공원,1996-05-22,128.682645,대구스타디움, 육상진흥센터,대구광역시 수성구 월드컵로 2-46,35.826763,스포츠기념관,2018-09-30
