한곡땡겨노래연습장,대구광역시 북구 태전로 53 (태전동),대구광역시 북구 태전동 254-30 ,2020-10-13
청춘노래연습장,대구광역시 북구 검단동로4길 6 (검단동),대구광역시 북구 검단동 1266-25 ,2020-10-13
채널3노래연습장,대구광역시 북구 대현로9길 55 (대현동),대구광역시 북구 대현동 257-15 ,2020-10-13
은하노래연습장,대구광역시 북구 동북로 297 (복현동),대구광역시 북구 복현동 364-1 ,2020-10-13
쇼노래연습장,대구광역시 북구 복현로 34-1 (복현동),대구광역시 북구 복현동 249-8 ,2020-10-13
한마당노래연습장,"대구광역시 북구 동북로 252, 2층 (복현동)",대구광역시 북구 복현동 427-4 ,2020-10-13
산림노래연습장,대구광역시 북구 동북로 143 (산격동),대구광역시 북구 산격동 1269-20 (지상2층) ,2020-10-13
만남노래연습장,"대구광역시 북구 동북로 149-2, 3층 (산격동)",대구광역시 북구 산격동 1270 ,2020-10-13
쉐보레,대구광역시 북구 침산남로13길 24 (침산동),대구광역시 북구 침산동 1552-6 (지하1층) ,2020-10-13
풍년노래연습장,대구광역시 북구 오봉로1길 51 (노원동2가),대구광역시 북구 노원동2가 289-1 ,2020-10-13
딩동댕노래연습장,대구광역시 북구 연암로 177 (산격동),대구광역시 북구 산격동 750-3 ,2020-10-13
궁전노래연습장,대구광역시 북구 구암로 103 (읍내동),대구광역시 북구 읍내동 1381-14 ,2020-10-13
테크닉노래방,"대구광역시 북구 노원로 90, 1층 (노원동3가)",대구광역시 북구 노원동3가 1038-3 ,2020-10-13
웰빙노래연습장,대구광역시 북구 칠곡중앙대로46길 33 (태전동),대구광역시 북구 태전동 614-1 ,2020-10-13
맘모스노래연습장,"대구광역시 북구 동북로 299, 지하1층 (복현동)",대구광역시 북구 복현동 364-3 ,2020-10-13
갈채노래연습장,대구광역시 북구 구암로 97 (읍내동),대구광역시 북구 읍내동 1381-20 ,2020-10-13
백악관노래방,대구광역시 북구 대학로23길 35 (산격동),대구광역시 북구 산격동 1336-4 지하1층 ,2020-10-13
연다라노래연습장,대구광역시 북구 칠곡중앙대로105길 32 (관음동),대구광역시 북구 관음동 1286-8 ,2020-10-13
까치노래연습장,대구광역시 북구 노곡로8길 3 (노곡동),대구광역시 북구 노곡동 146 ,2020-10-13
강북노래연습장,대구광역시 북구 태전로7길 2 (태전동),대구광역시 북구 태전동 257-16 ,2020-10-13
마카노래연습장,대구광역시 북구 대학로17길 3 (산격동),대구광역시 북구 산격동 1393-11 (지하1층) ,2020-10-13
고향노래연습장,대구광역시 북구 관음동로 67 (관음동),대구광역시 북구 관음동 1345-10 ,2020-10-13
코끼리노래연습장,대구광역시 북구 노원로 24-1 (노원동3가),대구광역시 북구 노원동3가 880-2 ,2020-10-13
한솔노래연습장,대구광역시 북구 연암로 116 (산격동),대구광역시 북구 산격동 837-14 ,2020-10-13
영락노래연습장,대구광역시 북구 매천로17길 6-1 (매천동),대구광역시 북구 매천동 476-8 지하1층 ,2020-10-13
홍노래연습장,대구광역시 북구 대구체육관로8길 3 (산격동),대구광역시 북구 산격동 1497-9 지하1층 ,2020-10-13
아리랑노래연습장,"대구광역시 북구 동북로 25, 2층 (산격동)",대구광역시 북구 산격동 741-34 ,2020-10-13
스마일,대구광역시 북구 경대로5길 8 (대현동),대구광역시 북구 대현동 22-2 ,2020-10-13
대성노래연습장,대구광역시 북구 검단로 112-1 (검단동),대구광역시 북구 검단동 936-30 ,2020-10-13
조은노래연습장,대구광역시 북구 성북로 37 (침산동),대구광역시 북구 침산동 476-20 ,2020-10-13
엠(M)노래연습장,대구광역시 북구 영송로 67 (태전동),대구광역시 북구 태전동 1065 (지상2층) ,2020-10-13
비바체노래연습장,대구광역시 북구 경대로5길 10 (대현동),대구광역시 북구 대현동 21-4 ,2020-10-13
킹카노래연습장,대구광역시 북구 칠성남로31길 45 (칠성동2가),대구광역시 북구 칠성동2가 421-28 ,2020-10-13
색깔노래연습장,대구광역시 북구 대천로 3 (읍내동),대구광역시 북구 읍내동 1334-8 ,2020-10-13
대길노래연습장,"대구광역시 북구 태암로 18-1, 지하1층 (태전동)",대구광역시 북구 태전동 1035-4 ,2020-10-13
메들리노래연습장,대구광역시 북구 매천로 77-1 (매천동),대구광역시 북구 매천동 540-9 지하1층 ,2020-10-13
O.K노래연습장,대구광역시 북구 태전로7길 7 (태전동),대구광역시 북구 태전동 155-18 (지하1층) ,2020-10-13
축제노래연습장,대구광역시 북구 침산로 164 (침산동),대구광역시 북구 침산동 295-3 ,2020-10-13
대성노래연습장,"대구광역시 북구 칠곡중앙대로52길 71, 지하1층 (태전동)",대구광역시 북구 태전동 1075-60 ,2020-10-13
청솔노래연습장,대구광역시 북구 연암로 134-1 (산격동),대구광역시 북구 산격동 827-6 ,2020-10-13
백번노래연습장,대구광역시 북구 학정로 45 (태전동),대구광역시 북구 태전동 785-2 ,2020-10-13
화성노래연습장,대구광역시 북구 침산남로9길 6-1 (노원동1가),대구광역시 북구 노원동1가 5-6 ,2020-10-13
청춘노래연습장,대구광역시 북구 칠곡중앙대로 380 (태전동),대구광역시 북구 태전동 1003-10 ,2020-10-13
매천노래연습장,대구광역시 북구 칠곡중앙대로 87 (매천동),대구광역시 북구 매천동 618-14 지하1층 ,2020-10-13
금잔디노래연습장,대구광역시 북구 고성북로 2 (고성동2가),대구광역시 북구 고성동2가 110-9 ,2020-10-13
에이스노래연습장,"대구광역시 북구 관음중앙로 46, 지하1층 (관음동)",대구광역시 북구 관음동 474-4 ,2020-10-13
영남노래연습장,대구광역시 북구 산격로 83 (산격동),대구광역시 북구 산격동 1218-21 ,2020-10-13
진행중노래연습장,대구광역시 북구 산격로 110 (산격동),대구광역시 북구 산격동 1236-10 ,2020-10-13
에피소드노래연습장,대구광역시 북구 경대로7길 2-1 (대현동),대구광역시 북구 대현동 24-28 ,2020-10-13
홍콩노래연습장,대구광역시 북구 산격로1길 60 (산격동),대구광역시 북구 산격동 1498-56 ,2020-10-13
조야노래연습장,"대구광역시 북구 조야로7길 22, 1층 (조야동)",대구광역시 북구 조야동 252-4 ,2020-10-13
연화노래연습장,대구광역시 북구 팔거천서로 161 (읍내동),대구광역시 북구 읍내동 1357-9 ,2020-10-13
스타노래연습장,대구광역시 북구 구암로32길 6-20 (구암동),대구광역시 북구 구암동 653-2 ,2020-10-13
제우스노래연습장,대구광역시 북구 칠곡중앙대로 620 (읍내동),대구광역시 북구 읍내동 302-1 ,2020-10-13
새롬노래연습장,대구광역시 북구 관음동로 133 (관음동),대구광역시 북구 관음동 1284-9 ,2020-10-13
관음노래연습장,대구광역시 북구 칠곡중앙대로 391 (태전동),대구광역시 북구 태전동 961-23 ,2020-10-13
나이스노래연습장,대구광역시 북구 검단로 3 (산격동),대구광역시 북구 산격동 492-47 ,2020-10-13
잉꼬노래연습장,"대구광역시 북구 칠곡중앙대로91길 5-3, 지하1층 (관음동)",대구광역시 북구 관음동 1402-12 ,2020-10-13
베짱이노래연습장,대구광역시 북구 칠곡중앙대로69길 7 (태전동),대구광역시 북구 태전동 983-3 ,2020-10-13
열창가요방,대구광역시 북구 오봉로6길 21 (노원동1가),대구광역시 북구 노원동1가 141 ,2020-10-13
옥소리노래연습장,대구광역시 북구 침산남로44길 45 (침산동),대구광역시 북구 침산동 10-2 ,2020-10-13
즐거운노래연습장,대구광역시 북구 칠곡중앙대로 382 (태전동),대구광역시 북구 태전동 1003-8 ,2020-10-13
청솔노래연습장,대구광역시 북구 대현남로6길 7 (대현동),대구광역시 북구 대현동 390-20 ,2020-10-13
21세기 노래연습장,대구광역시 북구 태암로 23 (태전동),대구광역시 북구 태전동 1023-11 ,2020-10-13
아싸노래연습장,대구광역시 북구 칠곡중앙대로65길 8 (태전동),대구광역시 북구 태전동 987-13 (지상2층) ,2020-10-13
압구정 노래연습장,"대구광역시 북구 구암로32길 6-18, 지하1층 (구암동)",대구광역시 북구 구암동 653-3 ,2020-10-13
뺑덕,대구광역시 북구 칠성로 39 (칠성동2가),대구광역시 북구 칠성동2가 355-27 ,2020-10-13
앵콜 노래방,대구광역시 북구 연암로 98 (산격동),대구광역시 북구 산격동 848-31 ,2020-10-13
칼라 노래연습장,대구광역시 북구 복현로 80 (복현동),대구광역시 북구 복현동 266-10 ,2020-10-13
세현 노래방,"대구광역시 북구 검단로 28 (복현동, 복현건영아파트)",대구광역시 북구 복현동 539-114 건영아파트 상가 106호,2020-10-13
대박노래연습장,"대구광역시 북구 칠곡중앙대로65길 2-1, 지하1층 (태전동)",대구광역시 북구 태전동 987-10 지하1층 ,2020-10-13
공동 노래연습장,대구광역시 북구 중앙대로 523 (칠성동2가),대구광역시 북구 칠성동2가 346-9 ,2020-10-13
부킹노래연습장,대구광역시 북구 태암남로 15 (태전동),대구광역시 북구 태전동 1059-13 ,2020-10-13
태평노래연습장,대구광역시 북구 고성로 142 (고성동2가),대구광역시 북구 고성동2가 113-2 ,2020-10-13
체어맨노래연습장,대구광역시 북구 칠곡중앙대로 337-1 (태전동),대구광역시 북구 태전동 989-5 ,2020-10-13
토마토노래연습장,"대구광역시 북구 칠곡중앙대로 305, 지하1층 (태전동)",대구광역시 북구 태전동 409-18 ,2020-10-13
칠성노래연습장,대구광역시 북구 칠성남로37길 29 (칠성동2가),대구광역시 북구 칠성동2가 548-3 ,2020-10-13
짱구노래연습장,대구광역시 북구 신암로 73 (대현동),대구광역시 북구 대현동 340-15 ,2020-10-13
샤넬노래연습장,대구광역시 북구 관음중앙로 38 (관음동),대구광역시 북구 관음동 1360-3 ,2020-10-13
신바람노래연습장,대구광역시 북구 칠곡중앙대로 504 (읍내동),대구광역시 북구 읍내동 953-4 ,2020-10-13
강변노래연습장,대구광역시 북구 팔거천서로 241-1 (읍내동),대구광역시 북구 읍내동 1234-42 ,2020-10-13
짱구노래방,대구광역시 북구 경대로 107 (복현동),대구광역시 북구 복현동 683 ,2020-10-13
피망,대구광역시 북구 칠곡중앙대로46길 16 (태전동),대구광역시 북구 태전동 549-1 ,2020-10-13
청송노래방,대구광역시 북구 대현로19길 19 (대현동),대구광역시 북구 대현동 190-18 ,2020-10-13
천지노래연습장,대구광역시 북구 산격로 33-3 (산격동),대구광역시 북구 산격동 1429-18 지하1층 ,2020-10-13
까치2노래연습장,대구광역시 북구 검단로 17 (산격동),대구광역시 북구 산격동 489-7 ,2020-10-13
황진이노래연습장,대구광역시 북구 팔달로37길 31 (노원동2가),대구광역시 북구 노원동2가 324-12 ,2020-10-13
VIP노래연습장,"대구광역시 북구 구암로 87, 지하1층 (읍내동)",대구광역시 북구 읍내동 1123-5 ,2020-10-13
대구노래연습장,대구광역시 북구 관음중앙로21길 1 (관음동),대구광역시 북구 관음동 1268-23 ,2020-10-13
싱싱노래연습장,대구광역시 북구 칠곡중앙대로46길 28 (태전동),대구광역시 북구 태전동 584-16 ,2020-10-13
베토벤노래방,대구광역시 북구 칠곡중앙대로69길 6-1 (태전동),대구광역시 북구 태전동 974-8 ,2020-10-13
캐슬노래연습장,대구광역시 북구 태암로3길 1 (태전동),대구광역시 북구 태전동 1021-7 ,2020-10-13
대림노래연습장,대구광역시 북구 칠곡중앙대로 563-8 (읍내동),대구광역시 북구 읍내동 655-3 ,2020-10-13
월드2노래연습장,대구광역시 북구 칠곡중앙대로 398-1 (태전동),대구광역시 북구 태전동 995-1 ,2020-10-13
오거리노래연습장,대구광역시 북구 대학로 145 (산격동),대구광역시 북구 산격동 1289-33 신일상가2층 ,2020-10-13
조이동전노래연습장,대구광역시 북구 칠곡중앙대로69길 14 (태전동),대구광역시 북구 태전동 969-27 ,2020-10-13
SBS노래연습장,대구광역시 북구 구암로15길 9 (읍내동),대구광역시 북구 읍내동 1343-7 ,2020-10-13
불러봐노래연습장,대구광역시 북구 동암로 7-5 (읍내동),대구광역시 북구 읍내동 506-1 (지하1층) ,2020-10-13
짱가노래연습장,대구광역시 북구 칠곡중앙대로 344 (태전동),대구광역시 북구 태전동 1049-4 ,2020-10-13
뉴욕노래연습장,대구광역시 북구 칠곡중앙대로 300 (태전동),대구광역시 북구 태전동 422-18 ,2020-10-13
칼라노래연습장,대구광역시 북구 태암남로 2 (태전동),대구광역시 북구 태전동 1074-4 (지하1층) ,2020-10-13
백번2노래연습장,"대구광역시 북구 태전로1길 20, 지하1층 (태전동)",대구광역시 북구 태전동 204-1 ,2020-10-13
팡팡노래연습장,대구광역시 북구 구암로15길 36 (읍내동),대구광역시 북구 읍내동 1345 ,2020-10-13
월드노래연습장,대구광역시 북구 대학로15길 6 (산격동),대구광역시 북구 산격동 1399-3 ,2020-10-13
앵콜노래연습장,대구광역시 북구 칠곡중앙대로52길 42 (태전동),대구광역시 북구 태전동 1075-16 ,2020-10-13
예인,대구광역시 북구 칠곡중앙대로80길 6 (태전동),대구광역시 북구 태전동 1006 ,2020-10-13
대왕노래연습장,대구광역시 북구 공항로 10-7 (복현동),대구광역시 북구 복현동 207-1 (지하1층) ,2020-10-13
청담노래방,"대구광역시 북구 노원로 172, 지하1층 (노원동3가)",대구광역시 북구 노원동3가 1226 ,2020-10-13
무태노래연습장,대구광역시 북구 동변로24길 22 (동변동),대구광역시 북구 동변동 263-3 (지하1층) ,2020-10-13
스카이노래연습장,대구광역시 북구 칠곡중앙대로69길 15 (태전동),대구광역시 북구 태전동 981 ,2020-10-13
파도노래연습장,"대구광역시 북구 매천로 51, 2층 (팔달동)",대구광역시 북구 팔달동 1-2 ,2020-10-13
무지개노래연습장,"대구광역시 북구 오봉로 1, 지하1층 (노원동2가)",대구광역시 북구 노원동2가 255 ,2020-10-13
아라리노래연습장,대구광역시 북구 관음중앙로28길 3 (관음동),대구광역시 북구 관음동 1284-1 ,2020-10-13
명창노래방,"대구광역시 북구 팔거천서로 35, 2층 (태전동)",대구광역시 북구 태전동 1073-1 ,2020-10-13
동화노래연습장,대구광역시 북구 칠곡중앙대로 489 (관음동),대구광역시 북구 관음동 1383-10 (지하1층) ,2020-10-13
신세계,대구광역시 북구 영송로 65 (태전동),대구광역시 북구 태전동 1065-2 ,2020-10-13
동화노래방,대구광역시 북구 대불서길 28 (산격동),대구광역시 북구 산격동 479-6 ,2020-10-13
토토노래연습장,대구광역시 북구 태암로 2 (태전동),대구광역시 북구 태전동 1031-25 ,2020-10-13
미인노래연습장,"대구광역시 북구 태전로 25, 지하1층 (태전동)",대구광역시 북구 태전동 155-27 ,2020-10-13
킹카노래연습장,대구광역시 북구 태암남로 3 (태전동),대구광역시 북구 태전동 1049-8 ,2020-10-13
대왕노래연습장,"대구광역시 북구 동암로 21-2, 지하1층 (읍내동)",대구광역시 북구 읍내동 470-10 ,2020-10-13
한양노래연습장,대구광역시 북구 구암로21길 3-2 (읍내동),대구광역시 북구 읍내동 1379-10 (지하1층) ,2020-10-13
부킹노래연습장,대구광역시 북구 유통단지로8길 21-25 (산격동),대구광역시 북구 산격동 1646 ,2020-10-13
중앙노래연습장,대구광역시 북구 칠곡중앙대로 481 (관음동),대구광역시 북구 관음동 1383-15 지하1층 ,2020-10-13
교민노래방,대구광역시 북구 동암로 12-1 (읍내동),대구광역시 북구 읍내동 812-13 ,2020-10-13
타임노래방,대구광역시 북구 구암로16길 16 (태전동),대구광역시 북구 태전동 995-3 ,2020-10-13
둥지노래연습장,대구광역시 북구 대학로 105 (산격동),대구광역시 북구 산격동 1324-3 ,2020-10-13
썬노래방,대구광역시 북구 연암로 115 (산격동),대구광역시 북구 산격동 793-98 ,2020-10-13
귀빈노래연습장,대구광역시 북구 공항로 78 (복현동),대구광역시 북구 복현동 268-8 ,2020-10-13
여울노래연습장,대구광역시 북구 침산남로7길 12 (노원동1가),대구광역시 북구 노원동1가 6-9 ,2020-10-13
썬노래연습장,대구광역시 북구 동북로 211 (복현동),대구광역시 북구 복현동 200-1 번지외4필지(지하1층) ,2020-10-13
야후노래방,대구광역시 북구 대학로 79 (산격동),대구광역시 북구 산격동 1339 ,2020-10-13
벅시 노래연습장,대구광역시 북구 유통단지로8길 21-25 (산격동),대구광역시 북구 산격동 1646 (지상3층) ,2020-10-13
라이브노래연습장,대구광역시 북구 구암로 302 (구암동),대구광역시 북구 구암동 815-11 ,2020-10-13
마야노래연습장,대구광역시 북구 태암로 5 (태전동),대구광역시 북구 태전동 1021-12 ,2020-10-13
제우스노래연습장,대구광역시 북구 구암로60길 41-3 (구암동),대구광역시 북구 구암동 810-11 ,2020-10-13
귀빈노래연습장,대구광역시 북구 구리로34길 15 (국우동),대구광역시 북구 국우동 1119-8 ,2020-10-13
삥풀노래연습장,대구광역시 북구 칠곡중앙대로 311 (태전동),대구광역시 북구 태전동 409-5 (지하1층) ,2020-10-13
스타노래방,"대구광역시 북구 노원로1길 141, 2층 (노원동3가)",대구광역시 북구 노원동3가 74-28 ,2020-10-13
시조.소리마당,대구광역시 북구 칠곡중앙대로 200 (태전동),대구광역시 북구 태전동 796-1 ,2020-10-13
세이노래연습장,대구광역시 북구 동변로 111-1 (동변동),대구광역시 북구 동변동 662 (지하1층) ,2020-10-13
요요노래연습장,대구광역시 북구 구암로60길 64-4 (구암동),대구광역시 북구 구암동 114 (지상1층) ,2020-10-13
대번노래연습장,대구광역시 북구 동암로38길 9-47 (구암동),대구광역시 북구 구암동 777-6 ,2020-10-13
화이트노래연습장,대구광역시 북구 구암로60길 11 (구암동),대구광역시 북구 구암동 812-8 ,2020-10-13
어촌노래연습장,"대구광역시 북구 침산남로 62, 2층 (노원동1가)",대구광역시 북구 노원동1가 8-1 ,2020-10-13
아우디노래연습장,대구광역시 북구 태전로 48 (태전동),대구광역시 북구 태전동 253-63 ,2020-10-13
씽씽노래연습장,대구광역시 북구 구암로60길 7-6 (구암동),대구광역시 북구 구암동 812-10 ,2020-10-13
목화노래연습장,대구광역시 북구 중앙대로 493 (칠성동2가),대구광역시 북구 칠성동2가 302-125 ,2020-10-13
볼보노래연습장,대구광역시 북구 태전로 28 (태전동),대구광역시 북구 태전동 246-10 (지상2층) ,2020-10-13
합창노래연습장,"대구광역시 북구 호암로 30, 지하1층 (칠성동2가)",대구광역시 북구 칠성동2가 378-26 ,2020-10-13
골든벨노래연습장,대구광역시 북구 구암로60길 54 (구암동),대구광역시 북구 구암동 137 ,2020-10-13
첼로노래연습장,대구광역시 북구 동암로38길 3-16 (구암동),대구광역시 북구 구암동 775-2 ,2020-10-13
한창노래연습장,대구광역시 북구 팔달로 215-2 (노원동2가),대구광역시 북구 노원동2가 281-2 ,2020-10-13
신도시노래연습장,대구광역시 북구 구암로32길 6-12 (구암동),대구광역시 북구 구암동 652 ,2020-10-13
한마음노래연습장,"대구광역시 북구 동변로18길 5, 지하1층 (동변동)",대구광역시 북구 동변동 499-1 ,2020-10-13
에이스노래연습장,대구광역시 북구 동변로 104 (동변동),대구광역시 북구 동변동 325 (지하1층) ,2020-10-13
아리아노래연습장,대구광역시 북구 대천로17길 9-16 (동천동),대구광역시 북구 동천동 926-6 (지상2층) ,2020-10-13
스타노래연습장,대구광역시 북구 산격로 69 (산격동),대구광역시 북구 산격동 1228-1 ,2020-10-13
3지구노래연습장,"대구광역시 북구 구암로65길 52, 지하1층 (구암동)",대구광역시 북구 구암동 769-4 ,2020-10-13
산격노래연습장,대구광역시 북구 연암로 98-2 (산격동),대구광역시 북구 산격동 848 ,2020-10-13
아마존노래연습장,대구광역시 북구 동암로38길 5 (구암동),대구광역시 북구 구암동 775-8 (지상2층) ,2020-10-13
짝꿍노래연습장,대구광역시 북구 구암로60길 7-16 (구암동),대구광역시 북구 구암동 812-14 ,2020-10-13
꽃동네노래연습장,대구광역시 북구 구암로60길 13 (구암동),대구광역시 북구 구암동 811-9 ,2020-10-13
애정노래연습장,대구광역시 북구 동암로38길 3-10 (구암동),대구광역시 북구 구암동 775-1 (지상2층) ,2020-10-13
한가락노래연습장,대구광역시 북구 구암로 300 (구암동),대구광역시 북구 구암동 815-10 (지상2층) ,2020-10-13
